"ind_ID","pot_ID","pot_number","sp","sp_group","Richness","CRichGroup","Group","Comp","mean_phydist","ABM","UBM","LTO","MLA","SLA","LDMC","SSD","Chl","Height","SRL","RD","RTD","SRA","Above_PC1","Above_PC2","Below_PC1","Below_PC2"
"CT-R1-G0-CG-181241","CT-R1-G0-CG-7",7,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,5.33,2.31,0.572949899668787,-0.175068731177207,-0.621447244387439,1.08163761292547,1.09217915111539,0.608771735781234,-0.0614441537828445,-1.8521579383498,0.973568645321065,1.0114554168654,-1.82127966558002,-0.912023266223531,-0.140536031595208,-1.4682908569122,-1.24582249064883
"CT-R1-G0-CG-182822","CT-R1-G0-CG-8",8,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,2.35,0.97,NA,NA,NA,NA,0.075528321353181,NA,-0.592239729867894,1.64928650949783,-1.59979185162276,0.425536075392473,0.908553112185536,NA,NA,0.223818161496471,1.77216865625684
"CT-R1-G0-CG-182823","CT-R1-G0-CG-8",8,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,1.86,0.79,NA,NA,NA,NA,-0.939018947277558,NA,-0.641330650199459,0.0983674097328992,-0.308965416280111,0.180060161179706,-0.0267127396994426,NA,NA,-0.134611789803542,0.254248093491412
"CT-R1-G0-CG-182824","CT-R1-G0-CG-8",8,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,2.49,0.96,0.918054769570505,-0.225728740807938,-0.808306195016122,1.12262214135005,1.43011616040332,-0.0996121639567,-0.423489691228138,-0.805403629307699,0.800080340401199,-0.118092383880225,-0.487604685045769,-1.17013939259115,-0.117885100447779,-0.167346950256216,-0.859163998849002
"CT-R1-G0-CG-182825","CT-R1-G0-CG-8",8,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,1.8,0.97,NA,NA,NA,NA,-0.105083392567104,NA,-0.764057951028372,1.02268808640761,-1.24712904264602,0.538785355315126,0.415479853142517,NA,NA,-0.104504119622822,1.29387607712232
"CT-R1-G0-CG-182826","CT-R1-G0-CG-8",8,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,5.39,2.16,NA,NA,NA,NA,1.35701142124778,NA,-0.463376063997535,0.150644203633865,-0.0690788901874331,-0.227080168371411,0.230105173587388,NA,NA,0.227888112530067,0.0675791902071405
"CT-R1-G0-CG-181250","CT-R1-G0-CG-9",9,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,2.43,1.13,1.71745153770258,-0.0193020454957391,-0.647721142840819,2.73472726905854,2.59314612849655,1.94380293144119,-0.699626118093193,-0.963226020994695,0.313614157981652,0.678081296326017,-1.02811343229265,-1.89122770079013,-0.628909442225214,-0.906893530113574,-0.511344351790421
"CT-R1-G0-CG-181251","CT-R1-G0-CG-9",9,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,2.59,1.23,1.59926177638336,-0.111133223843068,-0.726791117736164,1.13829647658045,1.55195739574078,0.990209220255506,-0.497126071725486,2.08969980462857,-1.20288330561115,-0.897524611285318,1.92948291568401,-1.21988138735602,-0.662415601597907,1.4667686522619,1.50999032457621
"CT-R1-G0-CG-181252","CT-R1-G0-CG-9",9,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,0.18,0.03,NA,NA,NA,NA,-2.152016129861,NA,-1.11996712343222,0.598274622072801,-0.472976722638291,-0.211340526817851,0.529935692881168,NA,NA,0.365389726031736,0.512597487966325
"CT-R1-G0-CG-181253","CT-R1-G0-CG-9",9,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,2.22,1.64,1.01385311210068,-0.563166140627003,-1.0570719295164,1.16209124138369,1.53246279726801,0.200088716701657,-0.659739745323796,1.42220780658589,-1.4651000095648,0.444787263351086,0.741679964991539,-1.39548859156362,-0.318193230843666,0.121775175836593,1.59081202164007
"CT-R1-G0-CG-181254","CT-R1-G0-CG-9",9,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,1.72,0.71,1.09326185783554,-0.563388138916358,-0.739833880940178,1.0148611024819,1.83411604060929,0.813113245321023,-0.813148871359938,1.14885165946579,-0.456628900119382,-0.935402972103709,1.3018938307306,-1.28367478714685,-0.460035989836002,1.16269273843662,0.631004168069796
"CT-R1-G0-CG-181255","CT-R1-G0-CG-9",9,"CG","SS-HA-CM-CG-QC-CS-LH-ED-DO-QS",1,"CT-R1-G0",0,TRUE,0,2.03,1.35,1.03970712295193,-0.458871344288189,-0.546156443660301,1.00701261090578,1.6269366135505,1.34440117012447,-0.736444308341867,-0.28918817768081,-0.323536301568704,0.693603268205863,-0.572202707939633,-1.10928607538434,-0.606319001286914,-0.699182045673023,0.173352052106909
